SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6112088230	8.3098823390	-0.6209996832	2.8969740910	34848	17.3253725639	167	342.1500000000	0	2017-198	18:06:07.907
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6150320335	8.3036201820	-0.6028670780	3.0671717617	34848	17.3230662011	168	342.2600000000	0	2017-198	18:06:08.017
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6188552705	8.2910958680	-0.5666025037	3.1851385311	34847	17.3230662011	169	342.3600000000	0	2017-198	18:06:08.188
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.6226785329	8.2910958680	-0.5091853289	3.2762395494	34847	17.3253725639	170	342.4700000000	0	2017-198	18:06:08.219
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6226785329	8.2910958680	-0.4381722908	3.2911752029	34847	17.3392107033	171	342.5800000000	0	2017-198	18:06:08.329
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6226785329	8.3036201820	-0.3671625054	3.2418886799	34847	17.3438234024	172	342.6700000000	0	2017-198	18:06:08.531
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.6188552705	8.2910958680	-0.2946452306	3.1283926951	34847	17.3461297494	173	342.7800000000	0	2017-198	18:06:08.531
0068	12.0600000000	4.9500000000	14.9700000000	36.5000000000	39.6150320335	8.2910958680	-0.1979608081	2.8268161762	34846	17.3369043511	174	342.9400000000	0	2017-198	18:06:08.703
0068	12.0000000000	4.9800000000	14.9700000000	36.0000000000	39.6073856378	8.3036201820	-0.1239408737	2.3642377548	34846	17.3322916415	175	343.0800000000	0	2017-198	18:06:08.843
0068	12.0300000000	4.9800000000	15.0000000000	36.0000000000	39.6035624785	8.2973580250	-0.0922191268	1.9735081823	34846	17.3369043511	176	343.1700000000	0	2017-198	18:06:08.921
0068	12.1500000000	4.9800000000	14.9700000000	36.0000000000	39.6035624785	8.2973580250	-0.0816453555	1.5561612276	34846	17.3345979972	177	343.2700000000	0	2017-198	18:06:09.140
0068	12.0300000000	4.9500000000	14.9700000000	36.0000000000	39.6073856378	8.2973580250	-0.0891980420	1.1256451214	34846	17.3276789249	178	343.3800000000	0	2017-198	18:06:09.140
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6073856378	8.3098823390	-0.1178985861	0.7028204103	34845	17.3161471017	179	343.4900000000	0	2017-198	18:06:09.249
